Date,Open,High,Low,Close,Volume
01/18/2024,"371.49","376.85","370.95","376.13","16,354,330"
01/17/2024,"366.30","368.54","358.61","368.37","12,724,780"
01/16/2024,"373.65","375.61","367.23","367.46","15,306,890"
01/12/2024,"370.16","377.06","369.54","374.49","19,310,051"
01/11/2024,"372.13","372.78","362.93","369.67","17,205,391"
01/10/2024,"360.17","372.94","359.08","370.47","22,117,211"
01/09/2024,"356.40","360.64","355.36","357.43","13,463,870"
01/08/2024,"354.70","358.98","352.05","358.66","13,890,220"
01/05/2024,"346.99","353.50","346.26","351.95","13,750,910"
01/04/2024,"344.50","348.15","343.40","347.12","12,099,900"
01/03/2024,"344.98","347.95","343.18","344.47","15,451,130"
01/02/2024,"351.32","353.16","340.01","346.29","19,042,150"
