Date,Open,High,Low,Close,Volume
08/20/2024,"175.40","175.40","169.85","172.04","13,555,530"
08/19/2024,"174.76","175.45","171.10","175.45","11,510,990"
08/16/2024,"173.39","175.00","172.25","174.54","10,709,970"
08/15/2024,"172.43","175.44","170.82","173.96","15,393,530"
08/14/2024,"171.88","172.51","167.19","169.97","11,510,310"
08/13/2024,"168.00","172.45","166.34","172.34","15,243,470"
08/12/2024,"166.00","169.53","165.54","167.63","14,727,280"
08/09/2024,"166.32","167.80","163.24","167.12","20,519,410"
08/08/2024,"159.27","164.75","155.54","164.55","18,889,641"
08/07/2024,"161.55","162.65","154.52","155.04","22,379,010"
08/06/2024,"150.44","157.71","147.72","155.39","24,528,070"
08/05/2024,"133.86","150.00","133.57","147.95","31,193,150"
08/02/2024,"151.25","153.86","146.89","149.86","31,095,270"
08/01/2024,"163.48","167.67","156.84","158.18","21,095,641"
07/31/2024,"163.77","166.65","162.07","165.80","19,860,381"
07/30/2024,"160.44","161.15","152.55","154.54","22,017,961"
07/29/2024,"162.68","163.23","158.63","160.01","12,663,080"
07/26/2024,"164.30","164.59","159.19","161.94","13,089,170"
07/25/2024,"158.16","163.40","152.11","160.28","25,731,750"
07/24/2024,"165.09","165.45","159.59","159.80","19,536,580"
07/23/2024,"169.42","171.54","167.97","169.82","11,690,670"
07/22/2024,"166.61","170.88","166.18","169.35","21,037,199"
07/19/2024,"169.17","170.52","165.22","165.77","22,585,301"
07/18/2024,"175.50","178.69","164.51","171.87","52,903,621"
07/17/2024,"175.22","176.58","170.51","171.20","45,052,594"
07/16/2024,"188.27","189.59","185.02","186.04","16,663,311"
07/15/2024,"188.68","190.06","184.08","185.22","15,683,110"
07/12/2024,"183.07","190.38","182.75","187.35","19,220,330"
07/11/2024,"193.09","193.47","183.01","184.50","21,584,170"
07/10/2024,"188.28","191.42","186.70","191.05","19,293,520"
07/09/2024,"188.09","188.44","182.50","184.52","19,972,039"
07/08/2024,"190.00","192.80","185.13","186.63","22,582,400"
07/05/2024,"184.14","185.08","182.30","183.99","11,372,880"
07/03/2024,"177.99","182.49","177.88","182.49","11,808,740"
07/02/2024,"171.13","176.71","171.03","175.70","10,655,490"
07/01/2024,"174.24","175.30","170.45","172.33","10,716,980"
06/28/2024,"172.81","176.82","172.81","173.81","11,216,070"
06/27/2024,"173.79","175.48","171.15","171.63","10,864,580"
06/26/2024,"172.12","173.69","170.20","172.07","11,901,500"
06/25/2024,"169.95","172.64","169.01","172.60","13,480,970"
06/24/2024,"170.43","171.42","167.12","167.81","19,741,660"
06/21/2024,"172.71","177.48","172.21","173.96","20,271,301"
06/20/2024,"182.58","183.17","173.50","175.38","28,403,221"
06/18/2024,"180.02","184.86","178.99","179.69","27,155,150"
06/17/2024,"177.84","178.67","173.48","177.24","18,593,711"
06/14/2024,"172.00","173.64","170.36","172.51","9,192,483"
06/13/2024,"172.95","174.07","170.51","172.91","15,591,790"
06/12/2024,"173.36","176.06","171.54","172.98","20,309,500"
06/11/2024,"168.18","168.41","163.79","165.71","11,508,570"
06/10/2024,"164.00","169.84","162.42","168.16","12,438,410"
06/07/2024,"163.57","166.12","161.96","164.39","14,023,340"
06/06/2024,"164.52","164.70","160.36","162.07","14,819,060"
06/05/2024,"158.59","163.73","157.95","162.92","23,192,570"
06/04/2024,"153.40","153.79","150.99","152.47","10,066,740"
06/03/2024,"155.12","157.15","152.46","154.95","12,924,400"
