Date,Open,High,Low,Close,Volume
10/18/2024,"164.87","166.37","164.75","165.05","13,091,270"
10/17/2024,"167.38","167.93","164.37","164.51","15,113,360"
10/16/2024,"166.03","167.28","165.22","166.74","9,968,474"
10/15/2024,"167.14","169.09","166.05","166.90","14,829,340"
10/14/2024,"164.91","167.62","164.78","166.35","9,981,765"
10/11/2024,"163.33","165.27","162.50","164.52","10,945,970"
10/10/2024,"162.11","164.31","161.64","163.18","12,900,490"
10/09/2024,"164.86","166.26","161.12","163.06","19,666,410"
10/08/2024,"165.43","166.10","164.31","165.70","11,723,890"
10/07/2024,"169.14","169.90","164.13","164.39","14,034,720"
10/04/2024,"169.34","169.55","166.96","168.56","11,435,320"
10/03/2024,"165.82","167.91","165.37","167.21","11,004,330"
10/02/2024,"167.76","168.88","166.25","167.31","12,744,980"
10/01/2024,"168.86","170.44","165.90","168.42","18,629,510"
09/30/2024,"164.78","167.36","164.64","167.19","14,083,450"
09/27/2024,"163.91","166.97","163.83","165.29","13,604,260"
09/26/2024,"165.03","165.50","163.50","163.83","18,234,500"
09/25/2024,"162.97","164.22","162.78","162.99","13,607,890"
09/24/2024,"164.25","164.55","162.03","163.64","18,774,061"
09/23/2024,"165.34","166.61","162.95","163.07","15,648,450"
09/20/2024,"164.52","164.75","163.18","164.64","46,362,672"
09/19/2024,"164.82","164.99","162.52","163.24","17,548,189"
09/18/2024,"160.85","161.63","159.66","160.81","16,756,449"
09/17/2024,"160.09","161.59","159.41","160.28","12,064,790"
09/16/2024,"158.33","159.24","157.61","158.99","14,157,610"
09/13/2024,"156.36","159.28","156.11","158.37","16,733,910"
09/12/2024,"154.81","155.61","153.50","155.54","21,024,061"
09/11/2024,"151.09","152.48","148.70","152.15","18,991,490"
09/10/2024,"151.45","152.30","149.54","150.01","20,401,770"
09/09/2024,"153.63","154.64","148.20","149.54","28,057,750"
09/06/2024,"158.69","159.22","151.94","152.13","24,999,061"
09/05/2024,"157.78","161.02","157.52","158.60","14,139,500"
09/04/2024,"158.08","160.40","157.44","157.81","17,410,650"
09/03/2024,"163.32","163.38","157.86","158.61","26,514,700"
08/30/2024,"164.22","165.28","163.41","165.11","18,498,779"
08/29/2024,"166.06","167.63","161.98","163.40","17,133,830"
08/28/2024,"166.78","167.39","163.28","164.50","15,208,740"
08/27/2024,"167.61","168.25","166.16","166.38","13,718,160"
08/26/2024,"168.16","169.38","166.32","167.93","11,990,310"
08/23/2024,"166.55","167.95","165.66","167.43","14,281,620"
08/22/2024,"169.04","169.42","165.03","165.49","19,123,779"
08/21/2024,"166.99","168.64","166.57","167.63","15,269,550"
08/20/2024,"168.74","170.41","168.66","168.96","12,622,520"
08/19/2024,"167.00","168.47","166.09","168.40","13,100,760"
08/16/2024,"163.41","166.95","163.08","164.74","16,853,141"
08/15/2024,"162.21","163.52","161.49","163.17","18,392,449"
08/14/2024,"164.21","164.96","159.53","162.03","22,515,900"
08/13/2024,"165.19","166.54","164.77","165.93","12,717,630"
08/12/2024,"166.00","166.70","163.55","163.95","12,434,970"
08/09/2024,"161.65","165.52","160.93","165.39","13,549,230"
08/08/2024,"162.34","165.50","162.03","163.84","15,733,610"
08/07/2024,"163.24","164.79","160.24","160.75","19,334,250"
08/06/2024,"160.95","162.35","158.13","160.54","36,146,539"
08/05/2024,"157.37","165.94","156.60","160.64","34,907,820"
08/02/2024,"168.19","170.21","166.39","168.40","18,907,770"
08/01/2024,"171.98","175.68","170.51","172.45","17,177,830"
07/31/2024,"174.92","175.91","171.72","173.15","15,650,150"
07/30/2024,"171.83","172.95","170.12","171.86","13,681,420"
07/29/2024,"170.50","172.16","169.72","171.13","13,768,930"
07/26/2024,"168.77","169.84","165.87","168.68","25,150,119"
07/25/2024,"174.25","175.20","169.05","169.16","28,967,881"
07/24/2024,"175.39","177.95","173.57","174.37","31,250,680"
07/23/2024,"183.84","185.22","183.33","183.60","23,772,600"
07/22/2024,"182.35","184.30","181.90","183.35","16,303,900"
07/19/2024,"180.37","181.97","178.86","179.39","14,485,900"
07/18/2024,"183.54","184.05","178.21","179.22","17,877,199"
07/17/2024,"184.68","185.23","181.62","182.62","17,376,561"
07/16/2024,"188.96","190.34","185.12","185.50","12,760,100"
07/15/2024,"186.49","189.90","186.49","188.19","12,186,020"
07/12/2024,"186.92","188.69","186.14","186.78","14,449,110"
07/11/2024,"191.34","192.41","186.82","187.30","16,451,980"
07/10/2024,"190.75","193.31","190.62","192.66","12,052,910"
07/09/2024,"191.75","192.86","190.23","190.44","10,224,930"
07/08/2024,"191.37","191.68","189.32","190.48","12,097,610"
07/05/2024,"187.32","192.26","187.32","191.96","14,303,360"
07/03/2024,"186.30","187.62","185.39","187.39","7,409,106"
07/02/2024,"183.47","186.95","183.06","186.61","12,555,550"
